STATE/UT,YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL,mean accidents,STATE_TOTAL,jan_mar,apr_june,jul_sep,oct_dec,
A & N Islands,2001,8,23,15,15,14,19,14,19,7,12,13,22,181,168.7857143,2893,46,48,40,47,
A & N Islands,2002,12,10,14,16,10,7,16,11,23,21,11,17,168,167,,36,33,50,49,
A & N Islands,2003,19,13,15,13,13,12,8,16,17,25,14,15,180,168.7857143,,47,38,41,54,
A & N Islands,2004,21,14,22,17,13,18,16,19,16,20,15,24,215,173.8571429,,57,48,51,59,
A & N Islands,2005,19,21,22,17,13,19,21,14,15,19,10,16,206,172.6428571,,62,49,50,45,
A & N Islands,2006,21,13,4,22,9,14,12,14,8,14,6,18,155,165.4285714,,38,45,34,38,1269.391981
A & N Islands,2007,17,16,12,22,12,14,8,10,11,7,11,12,152,165.0714286,,45,48,29,30,
A & N Islands,2008,17,22,15,16,15,17,13,11,13,17,11,24,191,170.7142857,,54,48,37,52,
A & N Islands,2009,16,23,23,21,21,19,24,25,31,22,20,26,271,182.2142857,,62,61,80,68,
A & N Islands,2010,16,30,28,15,29,24,22,18,25,30,27,21,285,184.2857143,,74,68,65,78,
A & N Islands,2011,24,10,19,24,13,28,17,18,25,17,18,22,235,177.2142857,,53,65,60,57,
A & N Islands,2012,25,15,24,24,18,16,17,18,18,25,17,19,236,177.4285714,,64,58,53,61,
A & N Islands,2013,24,23,16,15,13,16,14,25,14,15,14,11,200,172.3571429,,63,44,53,40,
A & N Islands,2014,25,13,19,19,18,15,15,16,15,23,18,22,218,175,,57,52,46,63,
Andhra Pradesh,2001,2204,2437,2405,2351,2550,2284,2025,2077,2070,2276,2122,2387,27188,4026.928571,546821,7046,7185,6172,6785,
Andhra Pradesh,2002,2492,2453,2835,2786,3195,2880,2645,2607,2555,2624,2646,2859,32577,4796.857143,,7780,8861,7807,8129,
Andhra Pradesh,2003,2783,2569,2870,2635,3265,2924,2657,2934,2767,2881,3037,3215,34537,5076.928571,,8222,8824,8358,9133,
Andhra Pradesh,2004,3019,3131,3211,3100,3257,2942,2827,3079,2972,3041,3129,3370,37078,5440,,9361,9299,8878,9540,
Andhra Pradesh,2005,3189,3193,3182,3056,3612,3247,2907,3028,2742,2928,2975,3230,37289,5470.214286,,9564,9915,8677,9133,
Andhra Pradesh,2006,3568,3224,3496,3634,3962,3400,3334,3311,3232,3306,3268,3588,41323,6046.571429,,10288,10996,9877,10162,
Andhra Pradesh,2007,3978,3530,3728,3842,4099,3594,3519,3348,3246,3447,3617,3646,43594,6371.071429,,11236,11535,10113,10710,
Andhra Pradesh,2008,3594,3468,3848,3967,3811,3391,3260,3324,3169,3352,3319,3603,42106,6158.571429,,10910,11169,9753,10274,
Andhra Pradesh,2009,3682,3494,3775,3450,4048,3763,3412,3488,3017,3253,3298,3331,42011,6145.071429,,10951,11261,9917,9882,
Andhra Pradesh,2010,3515,3434,3749,3857,3960,3765,3206,3416,3115,3439,3397,3575,42428,6204.714286,,10698,11582,9737,10411,
